id, x, y 
8339, 1.173, -1.031 
5989, 0.915, -1.100 
5982, 1.205, 0.576 
5983, 0.319, 3.215 
5980, 0.289, 2.986 
5986, 1.218, 0.564 
5984, 0.323, 3.216 
7517, 2.866, 4.196 
7516, 2.812, 3.352 
7515, 3.025, 2.078 
7514, 2.993, 1.876 
7513, 2.811, 3.941 
7512, 2.821, 5.417 
7511, -2.527, -0.113 
7510, -2.527, -0.113 
7519, 3.009, 3.421 
7518, 2.778, 3.676 
6357, 2.881, -2.959 
6150, 1.261, 2.394 
6151, 0.685, -0.470 
6158, 1.180, 0.694 
6159, 1.156, 1.654 
6797, 1.439, -1.479 
6795, 0.200, -1.042 
6792, 0.654, 0.381 
6793, 0.654, 0.381 
8307, 1.294, -1.194 
6791, 0.654, 0.381 
6721, -2.044, 0.247 
5854, -0.040, 0.138 
5855, 1.526, 1.958 
5856, 1.544, 1.949 
5857, 1.544, 1.949 
5850, 1.525, 2.170 
5851, 1.525, 2.170 
5852, 1.534, 1.953 
5853, 1.534, 1.953 
5858, 1.548, 1.948 
5859, 1.544, 1.949 
6726, -3.593, -0.227 
6725, -2.816, 0.251 
6358, -0.538, 0.228 
6359, 0.787, -2.166 
5488, -3.292, -0.635 
6194, -0.070, -1.154 
7889, 1.048, 0.666 
8755, -2.152, 0.089 
7881, 1.194, 0.950 
7880, 0.155, -1.244 
7883, 1.194, 0.950 
7882, 1.194, 0.950 
8204, 1.200, -0.806 
8304, 1.130, 0.617 
5821, 1.147, 0.701 
6588, 0.756, -0.627 
9528, 1.080, -0.437 
7995, 1.298, -0.747 
9258, -1.741, -0.366 
9259, -2.495, -0.456 
9524, 1.244, -0.492 
9525, 1.105, -0.820 
9526, 1.080, -0.437 
9527, 1.244, -0.492 
9252, -2.515, -0.492 
9521, 2.178, -0.813 
9250, -2.724, 0.005 
9251, -2.902, -0.062 
8200, 1.577, -0.237 
7861, 1.109, 0.629 
7860, 1.927, -0.709 
8753, -2.152, 0.089 
9434, 1.934, -0.860 
7869, 1.551, -0.474 
8092, 0.421, -1.539 
6198, 0.616, -1.814 
6199, 0.729, -0.323 
9411, 2.085, 0.724 
9412, 2.085, 0.724 
6371, 1.261, 2.393 
6372, 1.261, 2.394 
6373, 1.630, 0.796 
9340, -1.613, 0.569 
9342, -1.496, 0.430 
9638, 1.034, -0.164 
9639, 0.862, -0.174 
9635, 1.696, -0.383 
8941, -0.297, 0.291 
8940, -0.555, 0.236 
8942, -0.740, -0.259 
8945, -2.307, -0.732 
8944, -1.978, -1.074 
8947, -2.178, -0.790 
8946, -2.236, -0.799 
8948, -2.414, -0.338 
9347, 1.273, -1.028 
7261, 1.395, 1.269 
7260, 0.998, 0.754 
7263, 1.778, -0.608 
7262, 1.658, -0.414 
6204, 1.117, 0.632 
6205, 1.045, 0.772 
6206, 1.025, 0.833 
6207, 1.074, 0.705 
6200, 0.776, -0.287 
6201, 0.510, -1.087 
6203, 0.254, -0.919 
6208, 1.780, 0.611 
6209, -2.524, -0.132 
5407, 0.280, -1.735 
6808, 0.654, 0.381 
6809, 2.213, -0.830 
6806, 1.129, 0.612 
6807, 1.131, 0.610 
6804, 1.128, 0.616 
6805, 1.130, 0.612 
7148, 1.030, 0.928 
9619, 0.387, -1.607 
5182, -3.258, -0.473 
5183, 2.025, -0.034 
5181, 0.401, -1.604 
5186, 2.107, -0.299 
5187, 1.586, -0.714 
5185, 2.136, -0.430 
5188, 1.802, 0.444 
5189, 1.493, -0.914 
6485, 0.815, 2.704 
8837, -1.808, -0.227 
8830, 1.126, 0.619 
9598, 0.635, -0.303 
8975, -2.348, -1.172 
7678, 0.335, -0.521 
7679, 0.097, -0.918 
7676, 0.329, -0.928 
7677, 0.690, -0.156 
7674, -0.141, -1.128 
7672, 0.601, -0.220 
7673, 0.148, -0.576 
5458, -3.197, -0.671 
5459, 2.708, 6.311 
7078, 1.137, 1.112 
5450, 1.939, 1.022 
5451, 2.306, -0.357 
7076, 1.166, 0.113 
5453, -3.197, -0.671 
5454, 2.120, 0.194 
5455, 2.020, 0.233 
5456, 2.016, 0.212 
5457, -3.203, -0.602 
6976, 0.195, -1.375 
8162, 1.324, -0.787 
6974, 0.229, -0.893 
8160, 2.084, -1.015 
6972, 1.882, 0.938 
8165, 1.254, -1.271 
8164, 0.643, 0.921 
8169, 1.116, 0.458 
6978, 0.195, -1.375 
6979, 0.370, -1.115 
5533, -0.218, 0.470 
5532, 0.021, 0.602 
5531, -0.049, 0.555 
5530, -0.120, 0.559 
5537, 0.823, 0.688 
5536, 0.826, 0.674 
5535, 0.819, 0.681 
5534, 0.531, 0.693 
5538, 0.834, 0.679 
9659, 1.161, 0.510 
7188, 1.097, 0.631 
8764, -2.154, 0.089 
8767, -2.154, 0.089 
8766, -2.154, 0.089 
8761, -2.153, 0.089 
8760, -2.153, 0.089 
8763, -2.154, 0.089 
8762, -2.154, 0.089 
7182, -2.527, -0.113 
8769, -2.154, 0.089 
8768, -2.154, 0.089 
7187, 1.083, 1.510 
8387, -2.527, -0.113 
8385, -0.439, -0.181 
8686, 1.128, 0.469 
8019, 2.068, -1.095 
8018, 2.143, -1.088 
8545, 0.821, 1.665 
8544, 0.847, 1.699 
8015, 1.003, 0.386 
8011, 0.994, 0.373 
8010, 0.931, -0.046 
5737, -0.465, 0.666 
6571, 1.864, -0.477 
7451, -2.527, -0.113 
6578, 0.987, 2.829 
6579, 0.925, 1.307 
5100, 0.719, -1.649 
5621, -2.939, -0.847 
5620, -3.161, -0.634 
7694, -3.269, -0.580 
7695, -3.398, -0.559 
7696, -2.658, 0.173 
7691, -3.067, -0.779 
7692, -2.477, -1.109 
7693, -3.346, -0.609 
8498, 1.023, -1.430 
6417, 2.334, 3.360 
8684, 0.471, -0.108 
5995, 1.210, 0.568 
5994, 1.680, -1.769 
5997, 1.055, -0.564 
5996, 1.600, 2.111 
5991, 1.256, 0.273 
5990, 0.232, -0.822 
5993, 1.121, 0.620 
5992, 1.015, -1.247 
5999, 1.055, -0.564 
8685, 1.112, 0.035 
6534, 0.808, 2.012 
7522, 3.080, 4.269 
7523, 3.020, 3.666 
7520, 2.731, 5.573 
7521, 2.796, 3.274 
7526, 1.575, -0.166 
7527, 1.385, 0.367 
7524, -2.527, -0.113 
7525, -0.520, -1.479 
5667, -2.416, -0.350 
7528, 1.318, 0.252 
7529, 0.905, 0.974 
6533, 0.750, 2.072 
9058, 0.841, 0.661 
6530, 0.750, 2.072 
5664, -3.167, -0.566 
